Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,92.5081%,454652,5613919,6068571,3039093,137036,317616,2574826
0x1465c,68.0361%,128014,272482,400496,234258,20451,107563,38224
0x14630,71.215%,118720,293717,412437,225280,32497,86223,68437
0x14680,79.7563%,83734,329896,413630,187396,57402,26332,142500
0x14800,70.8345%,40239,97729,137968,72983,12345,27894,24746
0x1475c,89.7007%,27493,239447,266940,239153,357,27136,294
0x1485c,91.9764%,20683,237094,257777,237003,146,20537,91
0x149b4,94.0603%,19492,308672,328164,263994,11531,7961,44678
0x1469c,92.1851%,13194,155638,168832,155453,245,12949,185
0x147f0,99.7106%,1197,412433,413630,275106,556,641,137327
0x14740,92.9877%,921,12213,13134,4,899,22,12209
0x14614,99.8755%,515,413115,413630,754,439,76,412361
0x149cc,99.6979%,159,52480,52639,21771,82,77,30709
0x4a29c,99.924%,33,43381,43414,11536,21,12,31845
0x4b800,99.9286%,31,43383,43414,17736,18,13,25647
0x146dc,99.8401%,21,13113,13134,0,0,21,13113
0x15dc0,99.9488%,21,40998,41019,40998,7,14,0
0x1479c,99.9271%,20,27410,27430,0,0,20,27410
0x145fc,99.987%,18,137950,137968,0,0,18,137950
0x14790,99.938%,17,27413,27430,0,0,17,27413
0x145f8,99.9899%,14,137953,137967,0,0,14,137953
0x14578,99.9753%,13,52626,52639,0,0,13,52626
0x14664,99.9969%,12,386188,386200,386188,12,0,0
0x147e8,99.9563%,12,27418,27430,0,0,12,27418
0x14638,99.9973%,11,412426,412437,412426,11,0,0
0x1489c,99.9612%,8,20620,20628,0,0,8,20620
0x4b950,99.9839%,7,43415,43422,22,2,5,43393
0x149c4,99.9886%,6,52633,52639,0,0,6,52633
0x14890,99.9709%,6,20622,20628,0,0,6,20622
0x15d38,69.2308%,4,9,13,0,0,4,9
0x4e374,99.9908%,4,43418,43422,0,0,4,43418
0x146d0,99.9695%,4,13130,13134,0,0,4,13130
0x15dc4,78.5714%,3,11,14,11,2,1,0
0x4b974,99.9931%,3,43395,43398,6,1,2,43389
0x4a028,99.9919%,3,37214,37217,11556,1,2,25658
0x4a030,99.9922%,2,25658,25660,25658,1,1,0
0x4b938,99.9954%,2,43420,43422,0,0,2,43420
0x4b924,99.9954%,2,43420,43422,0,0,2,43420
0x4b900,99.9954%,2,43420,43422,0,0,2,43420
0x80000054,0%,1,0,1,0,1,0,0
0x800003c8,0%,1,0,1,0,1,0,0
0x15ec8,99.9631%,1,2712,2713,2712,1,0,0
0x15e00,0%,1,0,1,0,1,0,0
0x4b8ac,99.9977%,1,43414,43415,43414,1,0,0
0x4b980,99.9977%,1,43414,43415,43414,1,0,0
0x4a2cc,99.9977%,1,43413,43414,0,0,1,43413
0x4ba34,99.9977%,1,43414,43415,43414,1,0,0
0x4b7bc,99.9977%,1,43414,43415,43414,1,0,0
0x4a000,99.9973%,1,37216,37217,0,0,1,37216
0x4e390,99.9977%,1,43421,43422,43421,1,0,0
0x15c80,92.3077%,1,12,13,12,1,0,0
0x800003e8,100%,0,1,1,0,0,0,1
0x4b968,100%,0,43398,43398,0,0,0,43398
0x15df8,100%,0,1,1,0,0,0,1
0x4e344,100%,0,43422,43422,0,0,0,43422
0x4b91c,100%,0,43422,43422,0,0,0,43422
0x80000578,100%,0,1,1,0,0,0,1
0x4b7cc,100%,0,43414,43414,0,0,0,43414
0x4a018,100%,0,37217,37217,0,0,0,37217
0x4b7e8,100%,0,43414,43414,0,0,0,43414
0x15e80,100%,0,1,1,0,0,0,1
0x4a044,100%,0,1,1,0,0,0,1
0x4b818,100%,0,25660,25660,0,0,0,25660
0x4b840,100%,0,43414,43414,0,0,0,43414
0x4a2bc,100%,0,43414,43414,0,0,0,43414
0x4a28c,100%,0,43414,43414,0,0,0,43414
0x4b7f4,100%,0,43414,43414,0,0,0,43414
0x4ba2c,100%,0,43415,43415,0,0,0,43415
0x80000034,100%,0,1,1,0,0,0,1
0x4b7a4,100%,0,43415,43415,0,0,0,43415
0x4e380,100%,0,43422,43422,0,0,0,43422
0x4b7d8,100%,0,43414,43414,0,0,0,43414
0x4a010,100%,0,37217,37217,0,0,0,37217
0x4b90c,100%,0,43422,43422,0,0,0,43422
0x15c7c,100%,0,13,13,0,0,0,13
0x4a038,100%,0,1,1,0,0,0,1
0x4a04c,100%,0,1,1,0,0,0,1
